Comment,no_symbols,no_punctuation_and_symbols,no_urls,no_urls2,lower_case,expanded_contractions,expanded_contractions2,spelling,spelling2,tokens,lemmas,lemmas_no_stopwords
"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother?","If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother?",If someone strikes a pregnant woman such that she miscarries shouldnt the perpetrator be charged with manslaughter If it was intentional is it not murder So how is it suddenly not murder when the perpetrator is the mother,"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother?",If someone strikes a pregnant woman such that she miscarries shouldnt the perpetrator be charged with manslaughter If it was intentional is it not murder So how is it suddenly not murder when the perpetrator is the mother,if someone strikes a pregnant woman such that she miscarries shouldnt the perpetrator be charged with manslaughter if it was intentional is it not murder so how is it suddenly not murder when the perpetrator is the mother,if someone strikes a pregnant woman such that she miscarries should not the perpetrator be charged with manslaughter if it was intentional is it not murder so how is it suddenly not murder when the perpetrator is the mother ,"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother? ",if someone strikes a pregnant woman such that she miscarries should not the perpetrator be charged with manslaughter if it was intentional is it not murder so how is it suddenly not murder when the perpetrator is the mother ,"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother? ","['if', 'someone', 'strikes', 'a', 'pregnant', 'woman', 'such', 'that', 'she', 'miscarries', 'should', 'not', 'the', 'perpetrator', 'be', 'charged', 'with', 'manslaughter', 'if', 'it', 'was', 'intentional', 'is', 'it', 'not', 'murder', 'so', 'how', 'is', 'it', 'suddenly', 'not', 'murder', 'when', 'the', 'perpetrator', 'is', 'the', 'mother']","['if', 'someone', 'strike', 'a', 'pregnant', 'woman', 'such', 'that', 'she', 'miscarries', 'should', 'not', 'the', 'perpetrator', 'be', 'charged', 'with', 'manslaughter', 'if', 'it', 'wa', 'intentional', 'is', 'it', 'not', 'murder', 'so', 'how', 'is', 'it', 'suddenly', 'not', 'murder', 'when', 'the', 'perpetrator', 'is', 'the', 'mother']","['someone', 'strike', 'pregnant', 'woman', 'miscarries', 'perpetrator', 'charged', 'manslaughter', 'wa', 'intentional', 'murder', 'suddenly', 'murder', 'perpetrator', 'mother']"
"If this was 'self-induced' how did the 'law' find out about it?.  was it actually a miscarriage,and again, who involved the law?","If this was 'self-induced' how did the 'law' find out about it?.  was it actually a miscarriage,and again, who involved the law?",If this was selfinduced how did the law find out about it  was it actually a miscarriageand again who involved the law,"If this was 'self-induced' how did the 'law' find out about it?.  was it actually a miscarriage,and again, who involved the law?",If this was selfinduced how did the law find out about it  was it actually a miscarriageand again who involved the law,if this was selfinduced how did the law find out about it  was it actually a miscarriageand again who involved the law,if this was selfinduced how did the law find out about it was it actually a miscarriageand again who involved the law ,"If this was 'self-induced' how did the 'law' find out about it?. was it actually a miscarriage,and again, who involved the law? ",if this was selfinduced how did the law find out about it was it actually a miscarriageand again who involved the law ,"If this was 'self-induced' how did the 'law' find out about it?. was it actually a miscarriage,and again, who involved the law? ","['if', 'this', 'was', 'selfinduced', 'how', 'did', 'the', 'law', 'find', 'out', 'about', 'it', 'was', 'it', 'actually', 'a', 'miscarriageand', 'again', 'who', 'involved', 'the', 'law']","['if', 'this', 'wa', 'selfinduced', 'how', 'did', 'the', 'law', 'find', 'out', 'about', 'it', 'wa', 'it', 'actually', 'a', 'miscarriageand', 'again', 'who', 'involved', 'the', 'law']","['wa', 'selfinduced', 'law', 'find', 'wa', 'actually', 'miscarriageand', 'involved', 'law']"
"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families.","It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families.",Its amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies For me it was easy to reconcile If you didnt want to wear a mask or get a vaccine then you live with the informed decision when you contracted Covid and risked death for you and your families,"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families.",Its amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies For me it was easy to reconcile If you didnt want to wear a mask or get a vaccine then you live with the informed decision when you contracted Covid and risked death for you and your families,its amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies for me it was easy to reconcile if you didnt want to wear a mask or get a vaccine then you live with the informed decision when you contracted covid and risked death for you and your families,it is amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies for me it was easy to reconcile if you did not want to wear a mask or get a vaccine then you live with the informed decision when you contracted covid and risked death for you and your families ,"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families. ",it is amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies for me it was easy to reconcile if you did not want to wear a mask or get a vaccine then you live with the informed decision when you contracted covid and risked death for you and your families ,"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families. ","['it', 'is', 'amazing', 'that', 'the', 'people', 'who', 'cried', 'the', 'loudest', 'about', 'having', 'to', 'wear', 'a', 'mask', 'or', 'getting', 'a', 'vaccine', 'fail', 'to', 'recognize', 'the', 'cognitive', 'dissonance', 'of', 'having', 'the', 'government', 'telling', 'women', 'what', 'they', 'can', 'do', 'with', 'their', 'bodies', 'for', 'me', 'it', 'was', 'easy', 'to', 'reconcile', 'if', 'you', 'did', 'not', 'want', 'to', 'wear', 'a', 'mask', 'or', 'get', 'a', 'vaccine', 'then', 'you', 'live', 'with', 'the', 'informed', 'decision', 'when', 'you', 'contracted', 'covid', 'and', 'risked', 'death', 'for', 'you', 'and', 'your', 'families']","['it', 'is', 'amazing', 'that', 'the', 'people', 'who', 'cried', 'the', 'loudest', 'about', 'having', 'to', 'wear', 'a', 'mask', 'or', 'getting', 'a', 'vaccine', 'fail', 'to', 'recognize', 'the', 'cognitive', 'dissonance', 'of', 'having', 'the', 'government', 'telling', 'woman', 'what', 'they', 'can', 'do', 'with', 'their', 'body', 'for', 'me', 'it', 'wa', 'easy', 'to', 'reconcile', 'if', 'you', 'did', 'not', 'want', 'to', 'wear', 'a', 'mask', 'or', 'get', 'a', 'vaccine', 'then', 'you', 'live', 'with', 'the', 'informed', 'decision', 'when', 'you', 'contracted', 'covid', 'and', 'risked', 'death', 'for', 'you', 'and', 'your', 'family']","['amazing', 'people', 'cried', 'loudest', 'wear', 'mask', 'getting', 'vaccine', 'fail', 'recognize', 'cognitive', 'dissonance', 'government', 'telling', 'woman', 'body', 'wa', 'easy', 'reconcile', 'want', 'wear', 'mask', 'get', 'vaccine', 'live', 'informed', 'decision', 'contracted', 'covid', 'risked', 'death', 'family']"
Worst country ever.,Worst country ever.,Worst country ever,Worst country ever.,Worst country ever,worst country ever,worst country ever ,Worst country ever. ,worst country ever ,Worst country ever. ,"['worst', 'country', 'ever']","['worst', 'country', 'ever']","['worst', 'country', 'ever']"
"Of course, the Supreme Court will overturn Roe V. Wade.  Cony-Barrett thinks God put her on the court to get that done.","Of course, the Supreme Court will overturn Roe V. Wade.  Cony-Barrett thinks God put her on the court to get that done.",Of course the Supreme Court will overturn Roe V Wade  ConyBarrett thinks God put her on the court to get that done,"Of course, the Supreme Court will overturn Roe V. Wade.  Cony-Barrett thinks God put her on the court to get that done.",Of course the Supreme Court will overturn Roe V Wade  ConyBarrett thinks God put her on the court to get that done,of course the supreme court will overturn roe v wade  conybarrett thinks god put her on the court to get that done,of course the supreme court will overturn roe v wade conybarrett thinks god put her on the court to get that done ,"Of course, the Supreme Court will overturn Roe V. Wade. Cony-Barrett thinks God put her on the court to get that done. ",of course the supreme court will overturn roe v wade conybarrett thinks god put her on the court to get that done ,"Of course, the Supreme Court will overturn Roe V. Wade. Cony-Barrett thinks God put her on the court to get that done. ","['of', 'course', 'the', 'supreme', 'court', 'will', 'overturn', 'roe', 'v', 'wade', 'conybarrett', 'thinks', 'god', 'put', 'her', 'on', 'the', 'court', 'to', 'get', 'that', 'done']","['of', 'course', 'the', 'supreme', 'court', 'will', 'overturn', 'roe', 'v', 'wade', 'conybarrett', 'think', 'god', 'put', 'her', 'on', 'the', 'court', 'to', 'get', 'that', 'done']","['course', 'supreme', 'court', 'overturn', 'roe', 'v', 'wade', 'conybarrett', 'think', 'god', 'put', 'court', 'get', 'done']"
She did nothing wrong,She did nothing wrong,She did nothing wrong,She did nothing wrong,She did nothing wrong,she did nothing wrong,she did nothing wrong ,She did nothing wrong ,she did nothing wrong ,She did nothing wrong ,"['she', 'did', 'nothing', 'wrong']","['she', 'did', 'nothing', 'wrong']","['nothing', 'wrong']"
"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem.","Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem.",Pregnancy unless planned will not be an open topic Women young women teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet Back to underground abortions Crimes will go unreported and the guilty will be free to harm more women This is a huge problem,"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem.",Pregnancy unless planned will not be an open topic Women young women teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet Back to underground abortions Crimes will go unreported and the guilty will be free to harm more women This is a huge problem,pregnancy unless planned will not be an open topic women young women teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet back to underground abortions crimes will go unreported and the guilty will be free to harm more women this is a huge problem,pregnancy unless planned will not be an open topic women young women teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet back to underground abortions crimes will go unreported and the guilty will be free to harm more women this is a huge problem ,"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem. ",pregnancy unless planned will not be an open topic women young women teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet back to underground abortions crimes will go unreported and the guilty will be free to harm more women this is a huge problem ,"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem. ","['pregnancy', 'unless', 'planned', 'will', 'not', 'be', 'an', 'open', 'topic', 'women', 'young', 'women', 'teenagers', 'who', 'do', 'not', 'expect', 'to', 'get', 'pregnant', 'but', 'through', 'some', 'kind', 'of', 'interference', 'in', 'their', 'lives', 'become', 'pregnant', 'will', 'keep', 'the', 'information', 'quiet', 'back', 'to', 'underground', 'abortions', 'crimes', 'will', 'go', 'unreported', 'and', 'the', 'guilty', 'will', 'be', 'free', 'to', 'harm', 'more', 'women', 'this', 'is', 'a', 'huge', 'problem']","['pregnancy', 'unless', 'planned', 'will', 'not', 'be', 'an', 'open', 'topic', 'woman', 'young', 'woman', 'teenager', 'who', 'do', 'not', 'expect', 'to', 'get', 'pregnant', 'but', 'through', 'some', 'kind', 'of', 'interference', 'in', 'their', 'life', 'become', 'pregnant', 'will', 'keep', 'the', 'information', 'quiet', 'back', 'to', 'underground', 'abortion', 'crime', 'will', 'go', 'unreported', 'and', 'the', 'guilty', 'will', 'be', 'free', 'to', 'harm', 'more', 'woman', 'this', 'is', 'a', 'huge', 'problem']","['pregnancy', 'unless', 'planned', 'open', 'topic', 'woman', 'young', 'woman', 'teenager', 'expect', 'get', 'pregnant', 'kind', 'interference', 'life', 'become', 'pregnant', 'keep', 'information', 'quiet', 'back', 'underground', 'abortion', 'crime', 'go', 'unreported', 'guilty', 'free', 'harm', 'woman', 'huge', 'problem']"
I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born.,I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born.,I grew up in a red state and used to be antiabortion or prolife before I realized that the left has FAR better arguments on the abortion issue Republicans are so extreme they wont even make exceptions for if a womans life is endangered by her pregnancy Theyve never seemed to have a problem with letting people die once theyre born,I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born.,I grew up in a red state and used to be antiabortion or prolife before I realized that the left has FAR better arguments on the abortion issue Republicans are so extreme they wont even make exceptions for if a womans life is endangered by her pregnancy Theyve never seemed to have a problem with letting people die once theyre born,i grew up in a red state and used to be antiabortion or prolife before i realized that the left has far better arguments on the abortion issue republicans are so extreme they wont even make exceptions for if a womans life is endangered by her pregnancy theyve never seemed to have a problem with letting people die once theyre born,i grew up in a red state and used to be antiabortion or prolife before i realized that the left has far better arguments on the abortion issue republicans are so extreme they will not even make exceptions for if a womans life is endangered by her pregnancy they have never seemed to have a problem with letting people die once they are born ,I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born. ,i grew up in a red state and used to be antiabortion or prolife before i realized that the left has far better arguments on the abortion issue republicans are so extreme they will not even make exceptions for if a womans life is endangered by her pregnancy they have never seemed to have a problem with letting people die once they are born ,I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born. ,"['i', 'grew', 'up', 'in', 'a', 'red', 'state', 'and', 'used', 'to', 'be', 'antiabortion', 'or', 'prolife', 'before', 'i', 'realized', 'that', 'the', 'left', 'has', 'far', 'better', 'arguments', 'on', 'the', 'abortion', 'issue', 'republicans', 'are', 'so', 'extreme', 'they', 'will', 'not', 'even', 'make', 'exceptions', 'for', 'if', 'a', 'womans', 'life', 'is', 'endangered', 'by', 'her', 'pregnancy', 'they', 'have', 'never', 'seemed', 'to', 'have', 'a', 'problem', 'with', 'letting', 'people', 'die', 'once', 'they', 'are', 'born']","['i', 'grew', 'up', 'in', 'a', 'red', 'state', 'and', 'used', 'to', 'be', 'antiabortion', 'or', 'prolife', 'before', 'i', 'realized', 'that', 'the', 'left', 'ha', 'far', 'better', 'argument', 'on', 'the', 'abortion', 'issue', 'republican', 'are', 'so', 'extreme', 'they', 'will', 'not', 'even', 'make', 'exception', 'for', 'if', 'a', 'woman', 'life', 'is', 'endangered', 'by', 'her', 'pregnancy', 'they', 'have', 'never', 'seemed', 'to', 'have', 'a', 'problem', 'with', 'letting', 'people', 'die', 'once', 'they', 'are', 'born']","['grew', 'red', 'state', 'used', 'antiabortion', 'prolife', 'realized', 'left', 'ha', 'far', 'better', 'argument', 'abortion', 'issue', 'republican', 'extreme', 'even', 'make', 'exception', 'woman', 'life', 'endangered', 'pregnancy', 'never', 'seemed', 'problem', 'letting', 'people', 'die', 'born']"
Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America.,Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America.,Texas does not run Texas The Church runs Texas like it does many other states The Church just flexes in Texas first to set the precedent and take it on the road across America,Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America.,Texas does not run Texas The Church runs Texas like it does many other states The Church just flexes in Texas first to set the precedent and take it on the road across America,texas does not run texas the church runs texas like it does many other states the church just flexes in texas first to set the precedent and take it on the road across america,texas does not run texas the church runs texas like it does many other states the church just flexes in texas first to set the precedent and take it on the road across america ,Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America. ,texas does not run texas the church runs texas like it does many other states the church just flexes in texas first to set the precedent and take it on the road across america ,Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America. ,"['texas', 'does', 'not', 'run', 'texas', 'the', 'church', 'runs', 'texas', 'like', 'it', 'does', 'many', 'other', 'states', 'the', 'church', 'just', 'flexes', 'in', 'texas', 'first', 'to', 'set', 'the', 'precedent', 'and', 'take', 'it', 'on', 'the', 'road', 'across', 'america']","['texas', 'doe', 'not', 'run', 'texas', 'the', 'church', 'run', 'texas', 'like', 'it', 'doe', 'many', 'other', 'state', 'the', 'church', 'just', 'flex', 'in', 'texas', 'first', 'to', 'set', 'the', 'precedent', 'and', 'take', 'it', 'on', 'the', 'road', 'across', 'america']","['texas', 'doe', 'run', 'texas', 'church', 'run', 'texas', 'like', 'doe', 'many', 'state', 'church', 'flex', 'texas', 'first', 'set', 'precedent', 'take', 'road', 'across', 'america']"
"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out.","Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out.",Texas is slowly turning Blue so moving out would be counter productive Best to wait it out,"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out.",Texas is slowly turning Blue so moving out would be counter productive Best to wait it out,texas is slowly turning blue so moving out would be counter productive best to wait it out,texas is slowly turning blue so moving out would be counter productive best to wait it out ,"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out. ",texas is slowly turning blue so moving out would be counter productive best to wait it out ,"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out. ","['texas', 'is', 'slowly', 'turning', 'blue', 'so', 'moving', 'out', 'would', 'be', 'counter', 'productive', 'best', 'to', 'wait', 'it', 'out']","['texas', 'is', 'slowly', 'turning', 'blue', 'so', 'moving', 'out', 'would', 'be', 'counter', 'productive', 'best', 'to', 'wait', 'it', 'out']","['texas', 'slowly', 'turning', 'blue', 'moving', 'would', 'counter', 'productive', 'best', 'wait']"
Boycott texas!,Boycott texas!,Boycott texas,Boycott texas!,Boycott texas,boycott texas,boycott texas ,Boycott texas! ,boycott texas ,Boycott texas! ,"['boycott', 'texas']","['boycott', 'texas']","['boycott', 'texas']"
F Abbott and Texas,F Abbott and Texas,F Abbott and Texas,F Abbott and Texas,F Abbott and Texas,f abbott and texas,f abbott and texas ,F Abbott and Texas ,f abbott and texas ,F Abbott and Texas ,"['f', 'abbott', 'and', 'texas']","['f', 'abbott', 'and', 'texas']","['f', 'abbott', 'texas']"
"I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous.","I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous.",I keep seeing memes about getting support or taking an insurance policy or collecting child support at  weeks because the opposition is saying thats when life begins why arent people actually doing that and fighting Yes its ridiculous but so is this week thing I also see folks doing this potentially to fight dont say gay legislation with the idea that its weaponized and ridiculous,"I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous.",I keep seeing memes about getting support or taking an insurance policy or collecting child support at  weeks because the opposition is saying thats when life begins why arent people actually doing that and fighting Yes its ridiculous but so is this week thing I also see folks doing this potentially to fight dont say gay legislation with the idea that its weaponized and ridiculous,i keep seeing memes about getting support or taking an insurance policy or collecting child support at  weeks because the opposition is saying thats when life begins why arent people actually doing that and fighting yes its ridiculous but so is this week thing i also see folks doing this potentially to fight dont say gay legislation with the idea that its weaponized and ridiculous,i keep seeing memes about getting support or taking an insurance policy or collecting child support at weeks because the opposition is saying that is when life begins why are not people actually doing that and fighting yes it is ridiculous but so is this week thing i also see folks doing this potentially to fight do not say gay legislation with the idea that it is weaponized and ridiculous ,"I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous. ",i keep seeing memes about getting support or taking an insurance policy or collecting child support at weeks because the opposition is saying that is when life begins why are not people actually doing that and fighting yes it is ridiculous but so is this week thing i also see folks doing this potentially to fight do not say gay legislation with the idea that it is weaponized and ridiculous ,"I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous. ","['i', 'keep', 'seeing', 'memes', 'about', 'getting', 'support', 'or', 'taking', 'an', 'insurance', 'policy', 'or', 'collecting', 'child', 'support', 'at', 'weeks', 'because', 'the', 'opposition', 'is', 'saying', 'that', 'is', 'when', 'life', 'begins', 'why', 'are', 'not', 'people', 'actually', 'doing', 'that', 'and', 'fighting', 'yes', 'it', 'is', 'ridiculous', 'but', 'so', 'is', 'this', 'week', 'thing', 'i', 'also', 'see', 'folks', 'doing', 'this', 'potentially', 'to', 'fight', 'do', 'not', 'say', 'gay', 'legislation', 'with', 'the', 'idea', 'that', 'it', 'is', 'weaponized', 'and', 'ridiculous']","['i', 'keep', 'seeing', 'meme', 'about', 'getting', 'support', 'or', 'taking', 'an', 'insurance', 'policy', 'or', 'collecting', 'child', 'support', 'at', 'week', 'because', 'the', 'opposition', 'is', 'saying', 'that', 'is', 'when', 'life', 'begin', 'why', 'are', 'not', 'people', 'actually', 'doing', 'that', 'and', 'fighting', 'yes', 'it', 'is', 'ridiculous', 'but', 'so', 'is', 'this', 'week', 'thing', 'i', 'also', 'see', 'folk', 'doing', 'this', 'potentially', 'to', 'fight', 'do', 'not', 'say', 'gay', 'legislation', 'with', 'the', 'idea', 'that', 'it', 'is', 'weaponized', 'and', 'ridiculous']","['keep', 'seeing', 'meme', 'getting', 'support', 'taking', 'insurance', 'policy', 'collecting', 'child', 'support', 'week', 'opposition', 'saying', 'life', 'begin', 'people', 'actually', 'fighting', 'yes', 'ridiculous', 'week', 'thing', 'also', 'see', 'folk', 'potentially', 'fight', 'say', 'gay', 'legislation', 'idea', 'weaponized', 'ridiculous']"
Just another avenue for the machine to doom people to poverty.,Just another avenue for the machine to doom people to poverty.,Just another avenue for the machine to doom people to poverty,Just another avenue for the machine to doom people to poverty.,Just another avenue for the machine to doom people to poverty,just another avenue for the machine to doom people to poverty,just another avenue for the machine to doom people to poverty ,Just another avenue for the machine to doom people to poverty. ,just another avenue for the machine to doom people to poverty ,Just another avenue for the machine to doom people to poverty. ,"['just', 'another', 'avenue', 'for', 'the', 'machine', 'to', 'doom', 'people', 'to', 'poverty']","['just', 'another', 'avenue', 'for', 'the', 'machine', 'to', 'doom', 'people', 'to', 'poverty']","['another', 'avenue', 'machine', 'doom', 'people', 'poverty']"
"With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh?","With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh?",With such parametersonly fair to be sure to charge the dude who got her in that condition to begin witheh,"With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh?",With such parametersonly fair to be sure to charge the dude who got her in that condition to begin witheh,with such parametersonly fair to be sure to charge the dude who got her in that condition to begin witheh,with such parametersonly fair to be sure to charge the dude who got her in that condition to begin witheh ,"With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh? ",with such parametersonly fair to be sure to charge the dude who got her in that condition to begin witheh ,"With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh? ","['with', 'such', 'parametersonly', 'fair', 'to', 'be', 'sure', 'to', 'charge', 'the', 'dude', 'who', 'got', 'her', 'in', 'that', 'condition', 'to', 'begin', 'witheh']","['with', 'such', 'parametersonly', 'fair', 'to', 'be', 'sure', 'to', 'charge', 'the', 'dude', 'who', 'got', 'her', 'in', 'that', 'condition', 'to', 'begin', 'witheh']","['parametersonly', 'fair', 'sure', 'charge', 'dude', 'got', 'condition', 'begin', 'witheh']"
